,data_type,model_type,r^2,times_better_than_random,nutrient,leverage,feature,importance
204,lake,DTR,0.8225115684387735,8.97228661630467,doc,non_leverage,elev,0.013419638772024874
205,lake,DTR,0.2606430949512032,3.831092392042881,no3,non_leverage,elev,0.033441907522638065
206,lake,DTR,0.4928275306015714,5.307827677707337,tn,non_leverage,elev,0.21573116943283285
207,lake,DTR,0.8699218033530913,9.226290643742592,tp,non_leverage,elev,0.26971421264113155
208,stream,MLP,8.425742462769836e-05,0.09487907750925313,doc,non_leverage,elev,
209,stream,MLP,0.0006129085632139429,0.00933183662118866,no3,non_leverage,elev,
210,stream,MLP,0.0002562353216516433,0.019938867100255445,tn,non_leverage,elev,
211,stream,MLP,0.03321893428704037,3.429381249638098,tp,non_leverage,elev,
212,stream,GBR,0.4127291070205592,1.5987124204652117,doc,non_leverage,elev,0.046863601778602194
213,stream,GBR,0.18651988757330207,1.3100906606295757,no3,non_leverage,elev,0.15913149539977053
214,stream,GBR,0.4437162000309931,1.5013139413579482,tn,non_leverage,elev,0.1880134505009001
215,stream,GBR,0.057297518316711475,0.8470468816174279,tp,non_leverage,elev,0.17012940038921984
216,stream,RFR,0.5812215222602932,4.23532627030197,doc,non_leverage,elev,0.08931981668327495
217,stream,RFR,0.275375878462002,4.108131064644389,no3,non_leverage,elev,0.10031745727462914
218,stream,RFR,0.584564734648005,4.7203594538043685,tn,non_leverage,elev,0.21128307714281752
219,stream,RFR,0.14563853768607815,5.015574939088227,tp,non_leverage,elev,0.12514561920332282
220,stream,DTR,0.4517594855422482,3.7724312111766762,doc,non_leverage,elev,0.04326853843962207
221,stream,DTR,0.2112925304375587,3.8508357963462965,no3,non_leverage,elev,0.10289296838306083
222,stream,DTR,0.3906270363751203,3.7822183399794604,tn,non_leverage,elev,0.2437137325329788
223,stream,DTR,0.04674454412130991,4.1295333107047085,tp,non_leverage,elev,0.015675474275837663
224,stream,MLP,0.1383251326493703,2.997553253265397,doc,leverage,elev,
225,stream,MLP,0.09843985156830648,4.722925446279176,no3,leverage,elev,
226,stream,MLP,0.11828771204346088,2.3701573793799917,tn,leverage,elev,
227,stream,MLP,0.002184678320796052,5.1000423474085945,tp,leverage,elev,
